filename,area,month,,,
PAG40684_210325_cagablea_barcode41 ,VIEUX NICE,mar,,,
PAG40684_210325_cagablea_barcode42 ,CARABACEL,mar,,,
PAG40684_210325_cagablea_barcode43 ,NICE ETOILE,mar,,,
PAG40684_210325_cagablea_barcode44 ,PAILLON,mar,,,
PAG40684_210325_cagablea_barcode49 ,EAST JEAN MEDECIN,mar,,,
PAG40684_210325_cagablea_barcode50 ,WEST JEAN MEDECIN,mar,,,
PAG40684_210325_cagablea_barcode51 ,MUSICIENS,mar,,,
PAG40684_210325_cagablea_barcode52 ,EAST GAMBETTA,mar,,,
PAG40684_210325_cagablea_barcode53 ,WEST GAMBETTA,mar,,,
PAG40684_210325_cagablea_barcode54 ,MADELEINE,mar,,,
PAG40684_210325_cagablea_barcode55 ,MAGNAN,mar,,,
PAG40684_210325_cagablea_barcode56 ,FABRON,mar,,,
PAG40684_210325_cagablea_barcode61 ,CARRAS,mar,,,
PAG40684_210325_cagablea_barcode62 ,LES MOULINS,mar,,,
PAG40684_210325_cagablea_barcode63 ,WEST NICE,mar,,,
PAG40684_210325_cagablea_barcode64 ,EAST NICE,mar,,,
PAG40684_210325_cagablea_barcode65 ,HALIOTIS,mar,,,
PAG40684_210325_cagablea_barcode66 ,CergyPontoise,mar_extra,,,
PAG40684_210325_cagablea_barcode67 ,Lezardieux,mar_extra,,,
PAG40684_210325_cagablea_barcode68 ,Pleubrian,mar_extra,,,
PAE59297_20201120_cagablea_barcode01,PORT,nov,,,
PAE59297_20201120_cagablea_barcode02,CARABACEL,nov,,,
PAE59297_20201120_cagablea_barcode03,PAILLON,nov,,,
PAE59297_20201120_cagablea_barcode04,EAST JEAN MEDECIN,nov,,,
PAE59297_20201120_cagablea_barcode05,WEST JEAN MEDECIN,nov,,,
PAE59297_20201120_cagablea_barcode06,MUSICIENS,nov,,,
PAE59297_20201120_cagablea_barcode07,EAST GAMBETTA,nov,,,
PAE59297_20201120_cagablea_barcode08,WEST GAMBETTA,nov,,,
PAE59297_20201120_cagablea_barcode09,MAGNAN,nov,,,
PAE59297_20201120_cagablea_barcode10,MADELEINE,nov,,,
PAE59297_20201120_cagablea_barcode11,FABRON,nov,,,
PAE59297_20201120_cagablea_barcode12,CARRAS,nov,,,
PAE59297_20201120_cagablea_barcode13,EAST NICE,nov,,,
PAE59297_20201120_cagablea_barcode14,WEST NICE,nov,,,
PAE59297_20201120_cagablea_barcode15,Ariane2_vieillissement,nov_extra,,,
PAE59297_20201120_cagablea_barcode16,ARIANE,nov,,,
PAE59297_20201120_cagablea_barcode17,LES MOULINS,nov,,,
PAE59297_20201120_cagablea_barcode18,Las PLANAS,nov,,,
PAE59297_20201120_cagablea_barcode19,HALIOTIS,nov,,,
,,,,,
,,,,,
,,,,,
,,,,,
